"route","file path","image path","image file name","alt-text copy","alt-text source","scope","line","alt type"
"/","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/404","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/about","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/advanced-search","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/changelog","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/disclaimer","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/faq","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/login","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/updates","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/ontology-browser","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/program-collections","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/repository-matcher","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/resources","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/saved","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/search","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/settings","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/sources","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/diseases","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/diseases/[slug]","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
"/features","src/components/logos/nde-logo.tsx","/assets/logos/niaid-nde-desktop.svg","niaid-nde-desktop.svg","NDE Desktop Logo","hardcoded in JSX","global (nav bar + footer)","12","literal"
